,0,1,2
422,4.0,178.0,1.0
423,4.0,183.0,2.0
424,4.0,194.0,9.0
425,4.0,195.0,2.0
426,4.0,200.0,5.0
427,4.0,201.0,3.0
428,4.0,210.0,1.0
429,4.0,213.0,1.0
430,4.0,216.0,1.0
431,4.0,219.0,2.0
432,4.0,223.0,5.0
433,4.0,229.0,7.0
434,4.0,232.0,2.0
435,4.0,234.0,3.0
436,4.0,235.0,3.0
437,4.0,236.0,6.0
438,4.0,243.0,4.0
439,4.0,245.0,5.0
440,4.0,247.0,1.0
441,4.0,251.0,1.0
442,4.0,253.0,1.0
443,5.0,1.0,10.0
444,5.0,3.0,1.0
445,5.0,10.0,1.0
446,5.0,15.0,2.0
447,5.0,20.0,9.0
448,5.0,29.0,4.0
449,5.0,32.0,2.0
450,5.0,35.0,4.0
451,5.0,47.0,3.0
452,5.0,51.0,3.0
453,5.0,52.0,3.0
454,5.0,54.0,1.0
455,5.0,55.0,7.0
456,5.0,58.0,2.0
457,5.0,60.0,1.0
458,5.0,70.0,4.0
459,5.0,72.0,10.0
460,5.0,76.0,2.0
461,5.0,78.0,4.0
462,5.0,80.0,8.0
463,5.0,86.0,1.0
464,5.0,91.0,12.0
465,5.0,93.0,2.0
466,5.0,94.0,2.0
467,5.0,96.0,6.0
468,5.0,101.0,8.0
469,5.0,104.0,3.0
470,5.0,113.0,12.0
471,5.0,115.0,7.0
472,5.0,119.0,3.0
473,5.0,126.0,3.0
474,5.0,128.0,2.0
475,5.0,133.0,6.0
476,5.0,135.0,2.0
477,5.0,138.0,2.0
478,5.0,141.0,1.0
479,5.0,144.0,3.0
480,5.0,145.0,5.0
481,5.0,149.0,2.0
482,5.0,154.0,3.0
483,5.0,161.0,1.0
484,5.0,162.0,1.0
485,5.0,163.0,2.0
486,5.0,167.0,4.0
487,5.0,169.0,11.0
488,5.0,178.0,4.0
489,5.0,194.0,8.0
490,5.0,195.0,3.0
491,5.0,200.0,8.0
492,5.0,201.0,1.0
493,5.0,223.0,4.0
494,5.0,229.0,8.0
495,5.0,232.0,2.0
496,5.0,234.0,5.0
497,5.0,235.0,2.0
498,5.0,236.0,10.0
499,5.0,243.0,6.0
500,5.0,245.0,2.0
501,5.0,251.0,1.0
502,5.0,254.0,1.0
503,6.0,1.0,8.0
504,6.0,15.0,4.0
505,6.0,20.0,17.0
506,6.0,29.0,4.0
507,6.0,32.0,2.0
508,6.0,35.0,4.0
509,6.0,47.0,6.0
510,6.0,51.0,5.0
511,6.0,52.0,5.0
512,6.0,54.0,1.0
513,6.0,55.0,9.0
514,6.0,58.0,3.0
515,6.0,60.0,1.0
516,6.0,70.0,6.0
517,6.0,72.0,8.0
518,6.0,76.0,4.0
519,6.0,78.0,5.0
520,6.0,80.0,6.0
521,6.0,91.0,11.0
522,6.0,93.0,1.0
523,6.0,94.0,3.0
524,6.0,96.0,5.0
525,6.0,101.0,5.0
526,6.0,104.0,4.0
527,6.0,113.0,13.0
528,6.0,115.0,10.0
529,6.0,119.0,2.0
530,6.0,126.0,4.0
531,6.0,128.0,1.0
532,6.0,133.0,7.0
533,6.0,138.0,1.0
534,6.0,141.0,1.0
535,6.0,144.0,2.0
536,6.0,145.0,1.0
537,6.0,149.0,3.0
538,6.0,154.0,1.0
539,6.0,162.0,2.0
540,6.0,163.0,2.0
541,6.0,167.0,4.0
542,6.0,169.0,13.0
543,6.0,178.0,2.0
544,6.0,194.0,11.0
545,6.0,195.0,4.0
546,6.0,200.0,9.0
547,6.0,201.0,1.0
548,6.0,223.0,4.0
549,6.0,229.0,5.0
550,6.0,232.0,2.0
551,6.0,234.0,3.0
