,added,killed
1098,939,149
1099,398,517
1100,841,292
1101,474,841
1102,653,116
1103,36,841
1104,698,569
1105,954,546
1106,622,205
1107,226,854
1108,129,223
1109,658,849
1110,357,932
1111,893,961
1112,289,885
1113,130,451
1114,704,286
1115,402,723
1116,624,58
1117,55,12
1118,961,732
1119,578,318
1120,793,247
1121,652,144
1122,842,534
1123,723,693
1124,332,708
1125,408,658
1126,875,290
1127,995,845
1128,689,468
1129,506,961
1130,275,891
1131,133,658
1132,532,101
1133,961,881
1134,679,474
1135,318,753
1136,901,62
1137,652,425
1138,160,242
1139,104,646
1140,961,590
1141,653,652
1142,845,797
1143,125,173
1144,797,484
1145,18,576
1146,162,196
1147,440,301
1148,284,564
1149,542,268
1150,160,568
1151,95,37
1152,301,48
1153,71,532
1154,250,414
1155,726,471
1156,643,667
1157,206,73
1158,971,39
1159,414,512
1160,105,652
1161,716,172
1162,995,472
1163,205,414
1164,889,484
1165,697,725
1166,392,204
1167,247,321
1168,585,888
1169,301,485
1170,808,101
1171,36,414
1172,919,274
1173,681,941
1174,18,151
1175,1,113
1176,1,205
1177,58,677
1178,764,923
1179,581,833
1180,157,290
1181,387,88
1182,953,295
1183,938,402
1184,546,215
1185,398,867
1186,407,190
1187,88,941
1188,689,917
1189,37,445
1190,971,953
1191,659,684
1192,408,988
1193,762,961
1194,581,519
1195,658,182
1196,917,728
1197,183,603
1198,64,269
1199,785,657
1200,971,485
1201,841,624
1202,634,971
1203,902,653
1204,593,728
1205,492,657
1206,855,783
1207,307,297
1208,976,105
1209,141,333
1210,81,899
1211,793,172
1212,825,519
1213,653,763
1214,454,594
1215,72,152
1216,184,939
1217,851,227
1218,658,119
1219,803,988
1220,202,799
1221,451,154
1222,945,430
1223,941,182
1224,991,689
1225,333,329
1226,714,917
1227,104,785
1228,373,162
1229,613,748
1230,141,399
1231,748,119
1232,616,393
1233,407,458
1234,211,714
1235,546,484
1236,519,394
1237,474,284
1238,28,763
1239,983,209
1240,214,292
1241,549,160
1242,125,657
1243,270,519
1244,289,569
1245,738,394
1246,585,748
1247,942,568
1248,515,916
1249,559,185
1250,300,104
1251,665,519
1252,551,234
1253,626,916
1254,624,716
1255,693,932
1256,286,653
