,added,killed
1001,227,244
1002,4,889
1003,220,296
1004,444,61
1005,416,220
1006,174,423
1007,638,174
1008,428,502
1009,941,521
1010,174,967
1011,662,710
1012,753,845
1013,952,349
1014,357,4
1015,313,27
1016,305,134
1017,254,854
1018,161,646
1019,956,499
1020,547,572
1021,304,153
1022,933,458
1023,366,761
1024,417,986
1025,585,814
1026,114,313
1027,305,305
1028,379,114
1029,537,129
1030,314,357
1031,194,175
1032,387,957
1033,952,525
1034,458,990
1035,387,409
1036,379,719
1037,726,244
1038,444,342
1039,923,790
1040,907,548
1041,726,233
1042,314,486
1043,134,797
1044,913,671
1045,379,753
1046,245,136
1047,201,634
1048,11,363
1049,739,121
1050,80,421
1051,643,245
1052,227,114
1053,458,227
1054,1000,134
1055,379,161
1056,106,334
1057,303,400
1058,486,227
1059,306,738
1060,387,384
1061,243,243
1062,227,706
1063,517,56
1064,401,860
1065,814,416
1066,780,550
1067,134,634
1068,944,114
1069,814,458
1070,579,227
1071,379,379
1072,749,176
1073,952,623
1074,657,578
1075,90,624
1076,731,110
1077,775,840
1078,251,330
1079,379,593
1080,106,517
1081,201,133
1082,201,365
1083,139,933
1084,623,749
1085,574,322
1086,517,634
1087,206,458
1088,155,443
1089,517,967
1090,638,732
1091,164,240
1092,692,254
1093,520,798
1094,723,365
1095,314,560
1096,245,51
1097,402,521
1098,298,524
1099,326,549
1100,802,315
1101,379,190
1102,164,106
1103,227,657
1104,793,890
1105,380,65
1106,89,814
1107,1000,65
1108,795,305
1109,869,271
1110,723,921
1111,458,843
1112,305,550
1113,134,61
1114,416,788
1115,4,370
1116,98,387
1117,22,798
1118,879,444
1119,880,103
1120,521,842
1121,723,23
1122,944,238
1123,404,954
1124,458,359
1125,72,142
1126,110,923
1127,58,58
1128,684,621
1129,638,579
1130,818,83
1131,558,997
1132,671,684
1133,817,849
1134,723,454
1135,550,547
1136,864,234
1137,334,61
1138,864,458
1139,548,692
1140,16,164
1141,74,401
1142,646,443
1143,921,300
1144,723,638
1145,380,849
1146,326,623
1147,646,255
1148,243,365
1149,349,692
1150,174,755
1151,227,304
1152,803,82
1153,944,923
1154,723,409
1155,803,985
1156,308,245
1157,485,139
1158,572,342
1159,72,113
1160,134,458
1161,419,560
1162,311,692
1163,120,719
1164,458,379
1165,62,404
1166,499,671
1167,229,444
1168,4,372
1169,305,1000
1170,520,980
1171,517,82
1172,239,853
1173,201,227
1174,188,421
1175,923,216
1176,298,401
1177,90,419
1178,458,377
1179,111,200
1180,379,82
1181,423,11
1182,542,387
1183,154,638
1184,113,90
1185,563,460
1186,952,953
1187,446,158
1188,334,129
1189,548,593
1190,171,646
1191,818,284
1192,349,872
1193,547,234
1194,220,774
1195,914,900
1196,678,458
1197,454,475
1198,897,775
1199,941,82
1200,999,99
1201,380,886
1202,364,377
1203,134,349
1204,394,625
1205,956,461
1206,89,377
1207,136,251
1208,795,547
1209,419,832
1210,239,623
1211,574,560
1212,158,546
1213,786,638
1214,81,968
1215,295,134
1216,359,366
1217,563,574
1218,578,739
1219,379,387
1220,81,461
1221,630,349
1222,136,860
1223,593,604
1224,517,760
1225,848,357
1226,134,952
1227,4,909
1228,314,164
1229,126,502
1230,81,585
1231,74,798
1232,421,248
1233,134,568
1234,398,220
1235,398,239
1236,558,81
1237,581,4
1238,723,726
1239,234,81
1240,974,348
1241,176,34
1242,176,526
1243,449,81
1244,133,817
1245,944,1000
1246,229,552
1247,995,578
1248,240,678
1249,295,574
1250,326,387
1251,176,860
1252,267,380
1253,308,274
1254,334,548
1255,990,22
1256,990,251
1257,62,176
1258,428,243
1259,780,243
1260,372,574
1261,510,845
1262,421,416
1263,563,314
1264,550,667
1265,795,370
1266,537,416
1267,98,548
1268,544,544
1269,82,10
1270,818,544
1271,921,234
1272,485,91
1273,174,843
1274,441,510
1275,379,921
1276,803,860
1277,234,171
1278,4,380
1279,35,574
